trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TB1-TB2-5-16-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB3-3-18-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB3-4-15-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB2-4-18-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB3-3-10-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-3-5-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB3-5-13-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB1-TB58-5-23-36742201930,TB1,36742201930,БУЛ. ХРИСТОФОР КОЛУМБ,,,TB1536742201930,TB58,0,0
TB1-TB3-1-11-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB3-4-3-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB2-1-6-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB2-1-4-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB3-4-9-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB58-3-22-36742201930,TB1,36742201930,БУЛ. ХРИСТОФОР КОЛУМБ,,,TB1336742201930,TB58,0,0
TB1-TB3-1-9-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB2-4-8-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB3-1-17-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB2-3-13-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB519-4-22-36742201930,TB1,36742201930,БУЛ. ПРОФ.ЦВ. ЛАЗАРОВ,,,TB1436742201930,TB519,0,0
TB1-TB2-2-10-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB2-3-19-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB58-1-21-36742201930,TB1,36742201930,БУЛ. ХРИСТОФОР КОЛУМБ,,,TB1136742201930,TB58,0,0
TB1-TB2-3-11-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB519-2-22-36742201930,TB1,36742201930,БУЛ. ПРОФ.ЦВ. ЛАЗАРОВ,,,TB1236742201930,TB519,0,0
TB1-TB2-5-18-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB2-2-20-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB2-4-20-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
TB1-TB2-1-16-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB2-3-7-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB2-2-14-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
TB1-TB25-3-2-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB25,0,0
TB1-TB2-3-15-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1336742201930,TB2,0,0
TB1-TB2-2-8-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB2,0,0
A200-A3908-1-12-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3907-3-15-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3908-4-18-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
TB1-TB3-3-4-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-4-14-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
A200-A3907-4-25-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3908-4-26-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A200-A3907-1-13-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3907-2-7-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3908-2-12-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3908-3-20-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
A200-A3908-3-12-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
TB1-TB3-2-21-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
A200-A4151-2-2-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A4151,0,0
A200-A3908-2-18-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3908-1-14-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3907-2-21-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3907-4-19-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3907-1-9-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3908-1-10-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3908-3-8-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
A200-A3907-4-9-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A200-A3907-2-13-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3907-3-3-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
